the_geom,the_geom_webmercator,objectid,serialnum,description,recycler,lat,lng,
0101000020E61000005AEEF6CDE7CA52C091AED36AB6FA4340,0101000020110F0000AB93039DCEEB5FC11A7A6054098A5241,222,171945,Nw 19th/Parkway,yes,39.95869193,-75.17039823,19103
0101000020E6100000737A5519B0CA52C044FA98D8EAFA4340,0101000020110F000090D2E5FD6FEB5FC1F86E0B6C438A5241,223,171950,Nw 17th/Callowhill,yes,39.96029193,-75.16699823,19130
0101000020E6100000C42DF92A55C852C000852732E0044440,0101000020110F0000ED3E47DA6FE75FC1A98D3ACF4D955241,224,171953,Nw 5th/Chew,no,40.03809192,-75.13019823,19120
0101000020E6100000FFC17C80AFCA52C0B0183BF8F1F94340,0101000020110F0000D4C045FA6EEB5FC17FDA31AC2F895241,225,171954,Sw 16th/Market,no,39.95269683,-75.16696179,19102
0101000020E6100000E621BA9179C952C04491A9A244F94340,0101000020110F0000112B9C8660E95FC1265BECA36F885241,226,171955,Nw 4th/Walnut,no,39.94740709,-75.148045,19106
0101000020E6100000B5BF0ECCF8CA52C06D9E7D242CFA4340,0101000020110F000098B1157AEBEB5FC156F0C61F70895241,227,171956,Nw 19th/JFK Boulevard,no,39.95447212,-75.17143537,19103
0101000020E61000009BE6217AE0CA52C09453259F20FA4340,0101000020110F0000FB6BB92AC2EB5FC13842135C63895241,228,171957,Sw 18th/JFK Boulevard,no,39.95412053,-75.16995099,19103
0101000020E610000028C117F665CB52C0068C5488EEF94340,0101000020110F000057D73CE7A4EC5FC13FFF56DD2B895241,229,171959,Ne 23rd/Chestnut,no,39.95259194,-75.17809822,19103
0101000020E61000009442BDE210CA52C007D4852069F94340,0101000020110F0000F5C5528D61EA5FC19066331198885241,230,171960,Ne 10th/Walnut,no,39.94852072,-75.15728062,19107
0101000020E610000095CE79B939CB52C01876693FC0FA4340,0101000020110F000066733CC359EC5FC1089ECA38148A5241,231,171961,Se 22nd/Winter,no,39.95899193,-75.17539822,19103
0101000020E6100000A56C6CBCACC952C0E51DD04051F94340,0101000020110F000046661070B7E95FC1281E649E7D885241,232,171962,Nw 6th/Walnut,no,39.94779215,-75.15116797,19106
0101000020E61000009D3BE8B48ACA52C0E989E0CD33FA4340,0101000020110F000035EC2A7A30EB5FC1CF52E39C78895241,233,171963,NE 15th and Arch Streets,no,39.95470594,-75.16471598,19102
0101000020E6100000BA4FC71B4ACB52C0D4973CAF1FFA4340,0101000020110F0000F971AE9775EC5FC15A4B455262895241,234,171964,Se 22nd/Market,no,39.95409193,-75.17639822,19103
0101000020E61000005BCBEAD446CB52C0FFC34D5D67FB4340,0101000020110F0000A77ACA0670EC5FC1C8BCA665CD8A5241,235,171965,Se 23rd/Spring Garden,no,39.96409193,-75.17619822,19130
0101000020E61000005BB7A4624DCB52C0BD50210837F94340,0101000020110F00004FEB93287BEC5FC10B9AE19160885241,236,171967,sw 21st/Pine,no,39.94699194,-75.17659823,19103
0101000020E61000005EE9AAB23FC952C00FCD8F1632F94340,0101000020110F00004FA0BD39FEE85FC1EB4CDB175B885241,237,171968,Sw 2nd/Walnut,no,39.94684107,-75.14451281,19106
0101000020E610000044B38F1AFDCA52C06564C1D5E1F84340,0101000020110F0000E659CCCAF2EB5FC1EDA64C3002885241,238,171969,Se 18th/South,yes,39.94439194,-75.17169823,19146
0101000020E6100000A1A75CF053CB52C02D897841EBF94340,0101000020110F00008AFD594A86EC5FC1BFD8F43B28895241,239,171970,Nw 22nd/Chestnut,yes,39.95249194,-75.17699822,19103
0101000020E6100000C8ABFCBDFECA52C04C034E98D7F94340,0101000020110F000095253C93F5EB5FC11F87AC7312895241,240,171971,Ne 19th/Chestnut,no,39.95189194,-75.17179823,19103
0101000020E610000024285EABFAC952C0F4B343B55EF94340,0101000020110F0000F122C0D03BEA5FC1456F4A868C885241,241,171972,Sw 9th/Walnut,no,39.94820276,-75.15592465,19107
0101000020E610000078EC21EEA9C952C0EC5B473B4BF94340,0101000020110F0000DF77F9ABB2E95FC19C3BA0F276885241,242,171973,Se 6th/Walnut,yes,39.94760838,-75.15099672,19106
0101000020E61000000CBD023D42CA52C0C6173899B7F84340,0101000020110F0000BF98E761B5EA5FC11FEA7C66D3875241,243,171975,Nw 11th/South,yes,39.94310298,-75.16029287,19147
0101000020E6100000472F988B40C952C013E9CEB158FA4340,0101000020110F0000927A36AAFFE85FC125625C7CA1895241,244,171976,Sw 3rd/Vine,no,39.95583174,-75.14456453,19106
0101000020E6100000BB223C8B3AC952C0493150A161F94340,0101000020110F0000F52D8D78F5E85FC18C0703C38F885241,245,171978,Sw 2nd/Chestnut,yes,39.94829194,-75.14419824,19106
0101000020E610000032FE670B48C952C03A7742ECE2F84340,0101000020110F00001FCD34670CE95FC1543AD26403885241,246,171979,Se 2nd & Spruce St,no,39.94442514,-75.14502225,19106
0101000020E61000004C3E8A7F8DC952C05B85B36184F84340,0101000020110F0000ED7C8D6082E95FC14D143CAA9A875241,247,171980,4th & South (Jim's Steaks),no,39.94153997,-75.14926136,19147
0101000020E61000003BBAC87B25C952C078C5AE6229F94340,0101000020110F0000CA36A1B2D1E85FC13647C57351885241,248,171981,Sw Front/Walnut,no,39.94657548,-75.14291281,19106
0101000020E6100000D6B4276C65CA52C049CBC8FE69FA4340,0101000020110F000085217225F1EA5FC12C6D89A7B4895241,249,171982,"Broad & Race, NE (Church)",no,39.95635972,-75.16244034,19107
0101000020E61000002FD1FFF70BCB52C0866DC5BC4DFA4340,0101000020110F000076B1B70A0CEC5FC10B437B5895895241,250,171983,Se 20th/Arch,no,39.95549736,-75.17260551,19103
0101000020E610000022C74E5839C952C02AB3F2976FF84340,0101000020110F0000B16C346FF3E85FC16C6F2BA383875241,251,171984,Sw Front/South,yes,39.94090556,-75.14412506,19147
0101000020E61000007773880DABCA52C06D73C99C13FA4340,0101000020110F000086D9A46B67EB5FC13A9640F254895241,252,171985,Sw 16th/JFK Boulevard,no,39.95372352,-75.16669024,19102
0101000020E6100000CEE5940A14CB52C09D3BD18329FA4340,0101000020110F0000E5FF03C119EC5FC19B287E366D895241,253,171986,Ne 20th/JFK Boulevard,no,39.95439193,-75.17309823,19103
0101000020E610000021FD6D8D89CA52C09AA3553006FA4340,0101000020110F000097F544842EEB5FC15D34E81246895241,254,171987,"22nd & Croskey, NW",no,39.95331387,-75.16464554,19102
0101000020E6100000DE24CAACC8CA52C04374CB9312FA4340,0101000020110F0000428291BC99EB5FC10BB2A8CC53895241,255,171988,Sw 17th/JFK,no,39.95369193,-75.16849823,19103
